
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
"Frame": 3611      ,"X":238.92%,"Y": 90.42%,"Timestamp": 2263.64
"Frame": 3612      ,"X":253.60%,"Y": 95.98%,"Timestamp": 2283.88
"Frame": 3613      ,"X":262.16%,"Y": 93.05%,"Timestamp": 2304.12
"Frame": 3614      ,"X":269.09%,"Y": 90.82%,"Timestamp": 2324.34
"Frame": 3615      ,"X":296.45%,"Y":-176.42%,"Timestamp": 2344.62
"Frame": 3616      ,"X":296.45%,"Y":-297.90%,"Timestamp": 2364.87
"Frame": 3617      ,"X":365.68%,"Y":-437.21%,"Timestamp": 2385.13
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
"Frame": 3619      ,"X":954.11%,"Y":-1002.52%,"Timestamp": 2425.63
"Frame": 3620      ,"X":366.22%,"Y":-437.21%,"Timestamp": 2445.88
"Frame": 3621      ,"X":366.22%,"Y":-437.21%,"Timestamp": 2466.13
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
"Frame": 3629      ,"X":366.22%,"Y":-437.21%,"Timestamp": 2628.13
"Frame": 3630      ,"X":366.22%,"Y":-436.86%,"Timestamp": 2648.38
"Frame": 3631      ,"X":366.22%,"Y":-436.55%,"Timestamp": 2668.63
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx
"Frame": 3633      ,"X":176.07%,"Y":-282.53%,"Timestamp": 2709.13
"Frame": 3634      ,"X": 20.27%,"Y":-274.11%,"Timestamp": 2729.37
"Frame": 3635      ,"X": 20.27%,"Y": 54.23%,"Timestamp": 2749.63
"Frame": 3636      ,"X": 20.27%,"Y": 71.97%,"Timestamp": 2769.88
"Frame": 3637      ,"X": 20.27%,"Y": 81.75%,"Timestamp": 2790.08
"Frame": 3638      ,"X": 50.59%,"Y": 94.45%,"Timestamp": 2810.38
"Frame": 3638      ,"X": 50.59%,"Y": 94.45%,"Timestamp": 2810.38
"Frame": 3639      ,"X": 59.81%,"Y":102.41%,"Timestamp": 2830.61
"Frame": 3640      ,"X": 64.10%,"Y":106.55%,"Timestamp": 2850.87
"Frame": 3641      ,"X": 67.22%,"Y":109.30%,"Timestamp": 2871.13
"Frame": 3642      ,"X": 69.31%,"Y":111.27%,"Timestamp": 2891.38
"Frame": 3643      ,"X": 70.61%,"Y":112.24%,"Timestamp": 2911.63
"Frame": 3644      ,"X": 73.07%,"Y":112.74%,"Timestamp": 2931.88
"Frame": 3644      ,"X": 73.07%,"Y":112.74%,"Timestamp": 2931.88
"Frame": 3645      ,"X": 75.21%,"Y":113.17%,"Timestamp": 2952.17
"Frame": 3646      ,"X": 96.00%,"Y":114.57%,"Timestamp": 2974.66
"Frame": 3647      ,"X":103.18%,"Y":114.73%,"Timestamp": 2993.27
"Frame": 3648      ,"X":107.42%,"Y":114.82%,"Timestamp": 3012.87
"Frame": 3649      ,"X":110.20%,"Y":114.27%,"Timestamp": 3033.14
"Frame": 3650      ,"X":112.23%,"Y":113.82%,"Timestamp": 3053.37
"Frame": 3651      ,"X":113.19%,"Y":113.57%,"Timestamp": 3073.62
"Frame": 3652      ,"X":113.90%,"Y":113.38%,"Timestamp": 3093.88
"Frame": 3653      ,"X":114.29%,"Y":113.15%,"Timestamp": 3114.12
"Frame": 3654      ,"X":114.36%,"Y":113.03%,"Timestamp": 3134.38
"Frame": 3655      ,"X":101.97%,"Y":111.40%,"Timestamp": 3154.63
"Frame": 3656      ,"X": 91.33%,"Y":109.87%,"Timestamp": 3174.87
"Frame": 3657      ,"X": 86.37%,"Y":108.77%,"Timestamp": 3195.13
"Frame": 3658      ,"X": 82.15%,"Y":106.87%,"Timestamp": 3215.43
"Frame": 3659      ,"X": 79.68%,"Y":105.85%,"Timestamp": 3235.67
"Frame": 3660      ,"X": 78.33%,"Y":105.04%,"Timestamp": 3255.88
"Frame": 3661      ,"X": 77.36%,"Y":104.46%,"Timestamp": 3276.12
"Frame": 3662      ,"X": 76.32%,"Y":103.21%,"Timestamp": 3296.42
"Frame": 3663      ,"X": 75.59%,"Y":102.79%,"Timestamp": 3316.63
"Frame": 3664      ,"X": 74.85%,"Y":102.47%,"Timestamp": 3336.92
"Frame": 3665      ,"X": 73.83%,"Y":102.33%,"Timestamp": 3357.13
"Frame": 3666      ,"X": 61.87%,"Y":102.32%,"Timestamp": 3377.43
"Frame": 3667      ,"X": 46.13%,"Y":102.64%,"Timestamp": 3397.62
"Frame": 3668      ,"X": 38.31%,"Y":102.54%,"Timestamp": 3417.88
"Frame": 3669      ,"X": 34.03%,"Y":102.40%,"Timestamp": 3438.18
